"","Armenia","Australia","Austria","Azerbaijan","Belarus","Belgium","Bulgaria","Croatia","Cyprus","Denmark","France","Germany","Greece","Hungary","Israel","Italy","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Spain","Sweden","Ukraine","United.Kingdom"
"Albania",0,0,0,0,0,5,10,7,0,0,1,0,3,6,0,12,0,0,0,0,8,4,0,2,0,0
"Armenia",0,0,0,0,0,5,7,0,12,0,8,0,1,0,0,4,6,0,0,0,10,2,0,3,0,0
"Australia",0,0,0,0,0,4,5,1,0,8,0,0,0,0,0,2,12,0,0,0,7,10,0,6,0,3
"Austria",0,0,0,0,0,8,7,4,0,0,0,0,0,5,0,6,3,0,0,2,12,10,0,1,0,0
"Azerbaijan",0,0,0,0,0,4,12,0,0,0,5,0,0,7,1,6,10,0,0,0,8,2,0,3,0,0
"Belarus",0,0,0,0,0,6,12,0,0,0,4,0,0,8,0,0,10,0,5,0,7,2,0,3,1,0
"Belgium",0,0,0,0,0,0,8,0,0,0,3,0,0,1,0,5,7,10,0,4,12,6,0,2,0,0
"Bulgaria",0,0,0,0,0,4,0,1,3,0,12,0,5,6,0,0,10,0,0,0,7,8,0,2,0,0
"Croatia",0,0,0,0,0,5,8,0,0,0,3,0,0,12,0,7,4,1,0,0,10,6,0,2,0,0
"Cyprus",1,0,0,0,0,2,10,0,0,0,3,0,12,0,0,8,6,0,0,0,7,4,0,5,0,0
"Czechia",2,0,0,10,3,4,12,0,0,0,0,0,0,0,0,1,5,0,0,0,8,6,0,0,7,0
"Denmark",0,2,0,0,0,6,10,0,0,0,0,0,0,3,0,0,8,1,7,0,5,4,0,12,0,0
"Estonia",0,0,0,0,2,12,7,0,0,0,1,0,0,8,0,5,4,0,0,0,10,6,0,3,0,0
"Finland",0,0,0,0,0,10,7,0,0,0,1,0,0,4,0,8,5,0,2,0,12,3,0,6,0,0
"France",6,0,0,0,0,8,4,0,0,0,0,0,0,2,3,5,7,0,0,1,12,10,0,0,0,0
"Georgia",10,0,0,12,6,0,7,0,2,0,3,0,0,0,0,5,0,0,0,0,8,0,0,1,4,0
"Germany",0,0,0,0,0,10,5,8,0,0,0,0,0,3,0,4,7,1,0,2,12,6,0,0,0,0
"Greece",2,0,0,0,0,5,10,0,12,0,4,0,0,0,0,7,6,0,0,0,8,1,0,3,0,0
"Hungary",0,0,0,0,0,8,12,5,2,0,1,0,0,0,0,4,10,0,0,0,7,6,0,3,0,0
"Iceland",0,0,0,0,0,10,4,0,0,0,0,0,0,2,0,7,6,0,1,3,12,5,0,8,0,0
"Ireland",0,0,0,0,0,5,6,3,0,0,0,0,0,2,0,1,8,0,0,7,10,12,0,0,0,4
"Israel",0,0,0,0,2,6,10,0,0,0,4,0,0,1,0,8,5,0,0,0,12,7,0,3,0,0
"Italy",0,0,0,0,0,2,8,6,0,0,1,0,0,4,0,0,12,0,0,3,5,10,0,0,7,0
"Latvia",0,0,0,0,6,12,7,0,0,0,0,0,0,2,0,3,8,0,1,0,10,5,0,4,0,0
"Lithuania",0,0,0,0,1,10,7,0,0,0,0,0,0,2,0,5,8,0,6,0,12,4,0,3,0,0
"Malta",0,0,0,0,0,5,10,3,0,0,0,0,0,2,0,12,1,0,0,0,8,6,0,7,0,4
"Moldova",0,0,0,10,1,2,8,0,0,0,5,0,7,0,0,4,0,0,0,0,6,12,0,3,0,0
"Montenegro",0,0,0,5,0,4,6,12,1,0,2,0,0,7,0,10,3,0,0,0,8,0,0,0,0,0
"Netherlands",0,0,0,0,0,10,8,3,0,0,0,0,0,6,0,2,5,0,0,1,12,7,0,4,0,0
"North.Macedonia",0,0,0,0,0,4,12,10,0,0,6,0,0,3,1,8,2,0,0,0,7,0,0,5,0,0
"Norway",0,0,0,0,0,7,8,1,0,0,0,0,0,4,0,2,6,0,0,3,12,10,0,5,0,0
"Poland",0,0,0,0,4,12,8,1,0,0,0,0,0,5,0,0,6,0,0,0,10,7,0,3,2,0
"Portugal",0,0,0,0,0,10,8,0,0,0,6,0,0,2,0,4,12,0,0,0,0,7,5,1,3,0
"Romania",0,0,0,0,0,5,8,3,0,0,4,0,1,10,0,6,12,0,0,0,7,0,0,2,0,0
"San.Marino",0,0,0,1,0,5,12,3,0,0,0,0,0,4,0,10,8,0,0,0,7,6,0,2,0,0
"Serbia",0,0,0,0,0,3,10,5,0,0,2,0,0,12,0,6,7,0,0,0,8,4,0,1,0,0
"Slovenia",0,0,0,4,0,6,7,12,0,0,0,0,0,5,0,10,3,0,0,0,8,2,0,1,0,0
"Spain",0,0,0,0,0,4,10,0,0,0,3,0,0,0,0,8,6,2,0,0,12,7,0,5,0,1
"Sweden",0,0,0,0,0,12,7,2,0,0,0,0,0,4,0,1,8,0,6,5,10,3,0,0,0,0
"Switzerland",0,0,0,0,0,7,6,8,0,0,2,3,0,5,0,10,0,0,0,0,12,4,0,1,0,0
"Ukraine",0,0,0,0,8,5,2,0,0,0,6,0,0,4,0,0,12,0,1,0,10,3,0,7,0,0
"United.Kingdom",0,0,0,0,0,3,12,5,0,0,0,0,0,1,0,2,6,0,0,10,8,7,0,4,0,0
