"","Albania","Australia","Austria","Bulgaria","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Hungary","Ireland","Israel","Italy","Lithuania","Moldova","Netherlands","Norway","Portugal","Serbia","Slovenia","Spain","Sweden","Ukraine","United.Kingdom"
"Albania",0,0,2,6,10,0,0,4,0,5,8,0,7,1,12,0,0,0,0,0,0,0,0,0,0,3
"Armenia",0,0,6,0,12,8,0,2,0,5,0,0,0,10,3,0,1,0,7,0,0,0,0,0,4,0
"Australia",0,0,0,0,7,3,10,0,4,0,2,0,8,12,0,0,5,0,1,0,0,0,0,0,0,6
"Austria",2,0,0,0,1,12,5,0,0,0,6,3,4,7,10,0,0,0,0,0,8,0,0,0,0,0
"Azerbaijan",0,0,0,1,10,6,0,0,0,0,3,0,0,12,5,0,4,0,7,0,0,0,0,2,8,0
"Belarus",0,0,0,1,3,5,7,0,0,0,0,2,0,8,4,0,6,0,10,0,0,0,0,0,12,0
"Belgium",0,0,3,0,7,1,5,0,0,8,2,0,4,10,6,0,0,12,0,0,0,0,0,0,0,0
"Bulgaria",0,0,4,0,12,3,0,2,0,0,0,5,0,10,6,0,8,0,0,0,7,0,0,0,1,0
"Croatia",4,0,0,1,8,5,2,0,0,0,3,0,0,6,10,0,0,0,0,0,12,7,0,0,0,0
"Cyprus",0,0,0,12,0,8,0,4,0,1,3,0,0,10,7,6,0,0,5,0,0,0,0,0,2,0
"Czechia",0,0,0,1,8,0,7,5,0,0,3,0,4,10,2,0,6,0,0,0,0,0,0,0,12,0
"Denmark",0,2,10,0,1,6,0,0,0,0,12,0,4,0,0,0,0,5,8,0,0,0,0,7,0,3
"Estonia",0,0,6,0,4,5,8,0,10,0,0,3,0,0,7,12,1,0,2,0,0,0,0,0,0,0
"Finland",0,0,3,0,1,5,10,12,0,4,0,8,0,7,6,0,0,2,0,0,0,0,0,0,0,0
"France",0,0,0,0,3,0,2,7,0,0,0,0,0,12,10,0,6,0,0,8,1,0,5,0,4,0
"Georgia",0,0,1,0,10,0,2,6,0,4,0,0,0,12,5,7,3,0,0,0,0,0,0,0,8,0
"Germany",0,0,5,0,6,8,3,0,0,0,0,2,7,10,12,4,0,0,0,0,0,0,0,0,0,1
"Greece",10,0,0,5,12,7,0,4,0,0,2,0,0,6,8,0,1,0,3,0,0,0,0,0,0,0
"Hungary",0,0,3,0,7,8,12,0,0,0,1,0,0,10,6,0,2,4,5,0,0,0,0,0,0,0
"Iceland",0,0,5,0,1,10,12,0,3,6,8,0,0,7,0,0,0,0,4,0,0,0,0,2,0,0
"Ireland",0,0,0,0,5,7,2,4,0,0,8,0,0,6,0,12,1,3,0,0,0,0,0,0,0,10
"Israel",0,0,1,0,2,12,4,8,0,6,3,0,0,0,5,0,10,0,0,0,0,0,0,0,7,0
"Italy",12,0,0,0,5,0,4,6,0,0,3,2,0,7,0,0,10,0,0,0,1,0,0,0,8,0
"Latvia",0,0,0,0,1,4,5,10,0,0,0,0,0,8,6,12,7,0,2,0,0,0,0,0,3,0
"Lithuania",0,0,3,0,6,8,10,12,0,5,2,0,0,1,7,0,0,0,0,0,0,0,0,4,0,0
"Malta",0,6,0,7,10,3,2,0,0,0,4,0,0,8,12,5,0,0,0,0,0,0,0,0,0,1
"Moldova",0,0,0,3,7,6,0,1,0,0,4,2,0,12,8,0,0,0,5,0,0,0,0,0,10,0
"Montenegro",10,0,0,4,5,0,0,0,0,0,0,3,0,1,8,0,0,0,0,0,12,6,0,2,7,0
"Netherlands",0,0,3,0,5,6,8,0,0,0,12,2,4,10,7,0,0,0,1,0,0,0,0,0,0,0
"North.Macedonia",12,0,0,7,8,5,0,0,0,0,0,0,0,3,6,0,1,0,0,0,10,2,0,0,4,0
"Norway",0,0,8,0,2,4,10,0,0,1,6,0,0,7,0,12,0,5,0,0,0,0,0,3,0,0
"Poland",0,0,0,0,8,4,6,0,0,3,1,7,2,10,5,0,0,0,0,0,0,0,0,0,12,0
"Portugal",0,0,0,0,5,0,2,7,0,0,8,0,3,1,10,0,6,0,0,0,0,0,12,0,4,0
"Romania",0,0,0,5,7,3,2,0,0,0,4,10,1,8,6,0,12,0,0,0,0,0,0,0,0,0
"Russia",0,0,0,0,4,2,7,3,0,0,0,0,0,10,6,0,12,0,5,0,0,0,0,1,8,0
"San.Marino",0,0,0,0,7,10,6,0,0,0,4,0,3,12,8,0,2,0,0,0,0,0,0,0,5,1
"Serbia",0,0,0,2,10,5,4,0,0,0,0,12,0,7,6,0,1,0,3,0,0,8,0,0,0,0
"Slovenia",1,0,2,0,6,8,7,0,0,0,4,3,0,0,10,0,0,0,5,0,12,0,0,0,0,0
"Spain",0,0,0,5,8,10,0,2,0,4,6,0,1,12,7,0,0,0,3,0,0,0,0,0,0,0
"Sweden",0,0,2,0,4,3,12,0,6,0,5,0,0,10,0,7,0,1,8,0,0,0,0,0,0,0
"Switzerland",7,0,4,0,3,0,2,0,0,0,6,0,0,5,8,0,0,0,0,10,12,0,1,0,0,0
"Ukraine",0,0,0,0,4,10,8,3,0,7,0,1,0,12,5,2,6,0,0,0,0,0,0,0,0,0
"United.Kingdom",0,1,0,6,8,5,2,0,0,0,3,0,10,7,0,12,4,0,0,0,0,0,0,0,0,0
