"","Albania","Australia","Azerbaijan","Belarus","Cyprus","Czechia","Denmark","Estonia","France","Germany","Greece","Iceland","Israel","Italy","Malta","Netherlands","North.Macedonia","Norway","Russia","San.Marino","Serbia","Slovenia","Spain","Sweden","Switzerland","United.Kingdom"
"Albania",0,1,3,0,0,0,0,0,0,0,2,0,0,8,0,7,6,5,12,10,0,0,0,0,4,0
"Armenia",0,1,0,0,0,0,0,0,4,0,0,3,0,7,6,10,0,5,12,0,0,0,0,2,8,0
"Australia",0,0,1,0,0,2,0,0,3,0,0,10,0,5,4,6,0,12,0,0,0,0,0,8,7,0
"Austria",0,3,1,0,0,0,0,0,0,0,0,6,0,10,0,7,0,8,5,0,4,2,0,0,12,0
"Azerbaijan",0,0,0,5,0,0,0,0,0,0,0,0,0,6,4,7,3,1,12,10,0,0,2,0,8,0
"Belarus",0,2,6,0,0,0,0,0,0,0,0,7,0,3,0,10,0,8,12,1,0,5,0,0,4,0
"Belgium",0,4,0,0,0,0,0,0,10,0,0,3,0,8,0,12,0,7,1,0,0,0,6,2,5,0
"Croatia",1,0,0,0,0,0,0,0,0,0,0,3,0,12,0,4,7,5,0,2,8,10,0,0,6,0
"Cyprus",0,2,0,0,0,0,0,0,3,0,12,0,5,8,0,6,0,1,10,0,0,0,4,0,7,0
"Czechia",0,8,7,0,0,0,0,1,0,0,0,6,3,2,0,4,0,10,12,0,0,0,0,0,5,0
"Denmark",0,2,5,0,0,0,0,8,0,0,0,4,0,3,0,7,0,12,0,0,0,0,1,10,6,0
"Estonia",0,2,1,0,0,0,6,0,0,0,0,5,0,0,0,8,0,10,12,0,0,7,0,3,4,0
"Finland",0,6,0,0,0,0,0,8,0,0,0,12,0,3,0,5,0,10,4,0,0,1,0,7,2,0
"France",0,6,0,0,0,0,4,0,0,0,0,1,12,10,0,5,0,8,3,0,0,0,7,0,2,0
"Georgia",0,0,7,0,12,0,0,0,0,0,0,3,4,1,0,5,2,0,8,10,0,0,0,6,0,0
"Germany",0,5,0,0,0,0,4,0,0,0,0,2,0,6,0,7,0,12,8,0,0,3,0,1,10,0
"Greece",5,3,0,0,12,0,0,0,1,0,0,2,0,10,0,6,0,0,8,0,0,0,4,0,7,0
"Hungary",0,0,2,0,0,0,0,0,1,0,0,12,0,4,0,8,0,10,7,6,0,3,0,0,5,0
"Iceland",0,10,0,0,0,2,4,3,0,0,0,0,0,6,0,5,0,12,0,1,0,0,0,8,7,0
"Ireland",0,10,0,0,0,0,0,1,0,0,0,6,0,4,0,8,0,12,5,0,0,0,0,2,7,3
"Israel",0,6,3,0,0,0,1,0,4,0,0,0,0,8,0,2,0,10,12,0,0,0,5,0,7,0
"Italy",12,6,1,0,0,0,4,0,2,0,0,7,0,0,0,5,0,10,8,0,0,0,0,0,3,0
"Latvia",0,6,4,0,0,0,0,10,0,0,0,7,0,3,0,5,0,8,12,0,0,2,0,0,1,0
"Lithuania",0,1,5,0,0,0,0,4,0,0,0,6,0,10,0,7,0,8,12,0,0,0,0,3,2,0
"Malta",0,3,2,0,0,0,0,0,0,0,0,1,0,12,0,10,5,7,4,0,0,0,0,6,8,0
"Moldova",0,0,10,0,0,2,0,0,0,0,0,1,7,5,0,6,0,3,12,8,0,0,0,0,4,0
"Montenegro",7,0,3,0,0,0,0,0,0,0,0,2,0,5,0,1,6,0,10,8,12,4,0,0,0,0
"Netherlands",0,2,4,0,0,0,5,0,0,0,0,7,0,10,0,0,1,12,0,0,0,0,3,8,6,0
"North.Macedonia",12,0,1,0,0,0,0,0,0,0,0,0,0,3,6,7,0,5,0,8,10,2,0,0,4,0
"Norway",0,4,3,0,0,0,5,2,0,0,0,10,0,7,0,8,0,0,1,0,0,0,0,12,6,0
"Poland",0,6,2,0,0,1,0,0,0,0,0,12,0,7,0,10,0,8,3,0,0,4,0,0,5,0
"Portugal",0,4,0,0,0,0,1,0,2,0,0,3,0,7,0,8,0,6,10,0,0,0,12,0,5,0
"Romania",0,2,6,0,0,0,0,0,1,0,0,5,3,8,0,12,0,4,7,0,0,0,0,0,10,0
"Russia",0,4,12,8,0,0,0,0,0,0,0,7,0,1,0,5,0,10,0,0,3,6,0,0,2,0
"San.Marino",0,0,4,0,7,0,0,0,0,0,10,2,1,8,0,6,0,3,12,0,0,0,0,0,5,0
"Serbia",0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,3,12,4,8,1,0,10,2,0,6,0
"Slovenia",0,2,0,0,0,0,3,1,0,0,0,7,0,8,0,5,12,6,0,0,10,0,0,0,4,0
"Spain",0,5,1,0,0,0,0,0,4,0,0,3,0,12,0,8,0,7,2,0,0,0,0,6,10,0
"Sweden",0,5,3,0,0,0,7,10,0,0,0,8,0,4,0,6,2,12,0,0,0,0,0,0,1,0
"Switzerland",10,0,0,0,0,0,1,0,3,0,0,0,0,12,0,6,2,8,0,0,7,0,5,4,0,0
"United.Kingdom",0,10,3,0,1,0,6,0,0,0,0,8,0,0,0,4,0,12,0,0,0,0,2,5,7,0
