"","Armenia","Australia","Azerbaijan","Belgium","Czechia","Estonia","Finland","France","Germany","Greece","Iceland","Italy","Lithuania","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Serbia","Spain","Sweden","Switzerland","Ukraine","United.Kingdom"
"Albania",4,0,3,2,0,0,0,0,0,0,0,12,0,0,6,0,0,1,0,0,5,8,0,7,10
"Armenia",0,0,0,0,0,3,0,7,0,2,0,10,0,1,4,0,0,8,0,0,12,5,0,6,0
"Australia",0,0,2,5,4,1,0,0,0,0,0,3,0,0,0,0,0,6,0,8,12,10,0,7,0
"Austria",6,0,0,0,0,0,0,0,0,4,0,3,0,0,8,5,0,10,0,0,2,7,1,0,12
"Azerbaijan",0,0,0,0,0,0,0,1,0,3,0,10,0,0,4,0,2,7,0,0,5,8,0,6,12
"Belgium",0,1,3,0,2,0,0,0,0,0,0,8,0,0,0,0,0,5,0,4,10,7,0,6,12
"Bulgaria",5,0,3,6,0,0,0,0,0,12,0,1,0,0,0,2,0,4,0,0,8,0,7,0,10
"Croatia",0,0,0,0,0,0,0,0,0,3,0,4,7,0,2,0,0,10,0,12,6,5,1,8,0
"Cyprus",0,8,10,2,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,4,6,5,0,7,3
"Czechia",0,1,0,0,0,8,0,0,0,3,0,0,0,0,0,2,0,5,0,0,7,10,6,4,12
"Denmark",0,0,0,0,0,0,0,0,0,12,1,0,3,0,10,0,0,8,0,0,4,7,2,5,6
"Estonia",0,8,3,0,0,0,5,0,0,6,0,10,2,0,1,0,0,7,0,0,0,12,0,0,4
"Finland",1,8,3,0,0,0,0,0,0,6,0,2,0,0,5,4,0,0,0,7,0,12,0,0,10
"France",7,0,0,6,2,0,0,0,0,3,0,0,0,0,4,0,8,1,0,0,5,0,0,10,12
"Georgia",0,0,0,0,0,0,0,1,0,3,0,10,0,0,4,0,2,7,0,0,5,8,0,6,12
"Germany",0,5,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,8,7,2,10,12
"Greece",0,8,12,0,2,0,0,0,0,0,0,1,0,6,4,0,10,3,7,0,5,0,0,0,0
"Iceland",0,0,0,0,2,0,0,0,0,0,0,6,1,0,4,8,0,5,0,0,3,12,0,10,7
"Ireland",0,2,0,0,7,0,0,0,0,0,1,6,0,0,0,0,0,4,0,5,12,10,0,3,8
"Israel",0,5,0,4,2,0,0,0,0,0,0,8,0,0,1,0,6,0,0,0,3,12,0,7,10
"Italy",8,2,0,7,0,0,1,0,0,10,0,0,0,5,12,0,0,0,0,4,0,0,3,0,6
"Latvia",0,2,0,0,0,0,0,0,0,7,0,0,1,0,4,5,0,6,0,0,0,10,3,12,8
"Lithuania",0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,0,0,8,0,1,5,3,7,12,10
"Malta",0,6,2,0,3,5,0,0,0,1,0,7,0,0,0,0,4,0,0,0,12,10,0,0,8
"Moldova",0,6,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,8,7,12,10
"Montenegro",0,0,1,0,0,0,0,0,0,0,0,10,2,0,3,0,0,4,0,12,8,7,0,6,5
"Netherlands",0,7,0,6,0,0,0,0,0,12,0,0,0,2,0,3,0,8,0,0,5,1,10,0,4
"North.Macedonia",0,5,4,3,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,10,12,6,1,0,8
"Norway",4,0,0,0,0,0,0,0,0,12,0,0,2,0,5,0,0,10,0,0,7,8,1,3,6
"Poland",0,6,0,0,0,0,0,0,0,2,0,4,0,0,3,0,0,7,0,0,1,10,5,12,8
"Portugal",1,0,0,0,0,0,0,0,0,4,6,0,5,0,7,0,0,0,0,3,12,0,2,8,10
"Romania",0,6,0,0,0,0,0,0,0,2,0,4,0,0,3,0,0,7,0,0,1,10,5,12,8
"San.Marino",0,6,7,0,0,0,0,0,0,10,0,3,0,0,0,0,4,0,0,0,12,5,1,2,8
"Serbia",0,0,12,8,3,10,6,0,0,0,0,0,2,0,0,0,0,7,0,0,4,5,0,0,1
"Slovenia",0,0,0,0,0,0,0,0,0,4,0,12,10,0,7,0,0,3,0,6,1,0,5,8,2
"Spain",0,8,12,5,0,0,0,0,0,2,0,10,0,0,0,0,0,0,4,6,0,7,1,0,3
"Sweden",2,10,7,1,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,12,0,0,0,8
"Switzerland",0,4,0,0,0,0,0,0,0,12,0,2,0,0,10,1,0,5,0,0,8,7,0,3,6
"Ukraine",2,3,5,0,1,0,0,0,0,7,0,0,0,0,8,0,0,10,0,0,0,4,6,0,12
"United.Kingdom",0,6,7,0,0,5,0,0,0,4,0,0,0,0,0,0,8,3,0,1,10,12,2,0,0
