"","Armenia","Australia","Azerbaijan","Belgium","Czechia","Estonia","Finland","France","Germany","Greece","Iceland","Italy","Lithuania","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Serbia","Spain","Sweden","Switzerland","Ukraine","United.Kingdom"
"Albania",0,0,0,0,0,5,2,0,0,12,0,8,0,1,6,0,0,0,0,3,7,0,0,10,4
"Armenia",0,0,0,0,0,12,0,0,0,3,0,0,2,5,0,0,0,4,0,6,8,7,0,10,1
"Australia",0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,10,3,0,0,8,6,5,0,12,7
"Austria",0,0,0,0,0,0,0,0,2,0,0,3,0,7,0,5,4,0,0,10,1,6,0,12,8
"Azerbaijan",0,2,0,0,0,0,0,0,0,3,0,5,0,0,0,7,1,0,0,6,10,4,0,12,8
"Belgium",0,0,0,0,0,0,0,0,0,0,0,4,0,8,10,0,7,1,0,2,6,5,0,12,3
"Bulgaria",5,0,0,0,0,0,0,0,0,6,0,2,0,7,0,1,0,0,4,10,8,0,0,12,3
"Croatia",0,0,0,0,0,2,0,1,0,0,0,6,3,8,0,5,0,0,0,12,7,4,0,10,0
"Cyprus",1,0,0,0,0,0,0,0,0,10,0,5,2,0,0,0,3,0,4,7,8,0,0,12,6
"Czechia",0,0,0,0,0,4,1,0,0,0,0,0,0,8,0,3,7,0,0,10,6,5,0,12,2
"Denmark",0,0,0,0,0,3,0,0,0,0,2,0,7,5,0,8,4,0,0,0,1,10,0,12,6
"Estonia",0,0,0,0,0,0,8,0,2,0,0,0,7,6,3,4,0,0,0,0,1,10,0,12,5
"Finland",0,0,0,0,0,10,0,1,0,0,0,0,2,5,0,6,0,0,0,7,3,8,0,12,4
"France",5,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,4,6,1,8,7,0,0,12,2
"Georgia",10,0,3,0,0,0,2,0,0,1,0,0,5,8,0,0,0,0,0,7,6,0,0,12,4
"Germany",0,0,0,0,0,0,0,0,0,0,0,3,0,10,4,1,8,0,0,7,2,5,0,12,6
"Greece",0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,6,0,0,2,8,12,4,0,10,5
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,10,4,0,0,1,3,8,0,12,7
"Ireland",0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,4,10,0,2,1,5,3,0,12,6
"Israel",0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,4,1,0,0,7,8,5,0,12,10
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,3,1,8,7,0,5,0,12,6
"Latvia",0,0,0,0,0,8,1,0,0,0,0,0,10,7,0,5,0,0,0,2,4,6,0,12,3
"Lithuania",0,0,0,0,0,8,0,0,0,0,0,3,0,5,1,2,0,7,0,0,6,10,0,12,4
"Malta",0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,4,2,0,3,6,7,5,0,8,12
"Moldova",0,0,0,1,0,7,0,2,0,0,0,0,4,0,0,6,0,0,10,0,8,5,0,12,3
"Montenegro",0,0,0,0,0,3,0,0,0,0,0,6,0,7,0,2,4,5,0,12,8,1,0,10,0
"Netherlands",0,0,0,4,0,1,0,0,0,0,0,0,0,10,0,5,6,0,0,3,7,2,0,12,8
"North.Macedonia",0,0,0,0,5,3,0,0,0,0,0,6,1,7,0,2,0,0,0,12,10,4,0,8,0
"Norway",0,0,0,0,0,2,0,0,0,7,0,0,10,4,0,0,5,0,0,3,1,8,0,12,6
"Poland",0,0,0,0,0,8,0,0,0,0,0,0,2,7,0,4,0,1,0,5,6,10,0,12,3
"Portugal",0,0,0,0,0,0,0,0,0,0,0,3,1,8,4,2,0,0,0,5,10,7,0,12,6
"Romania",0,0,0,0,0,5,0,1,0,0,0,4,0,12,0,2,0,0,0,7,8,6,0,10,3
"San.Marino",0,0,0,0,0,0,0,0,0,7,0,5,0,4,0,2,0,0,1,8,10,3,0,12,6
"Serbia",0,0,0,0,0,6,0,2,0,0,0,4,3,12,0,8,0,0,5,0,10,1,0,7,0
"Slovenia",0,0,0,0,0,0,0,0,0,8,0,6,2,7,1,3,0,0,0,12,4,5,0,10,0
"Spain",0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,3,1,4,10,2,0,6,0,12,8
"Sweden",0,0,0,0,0,4,7,0,0,0,0,0,3,0,1,10,5,0,0,8,2,0,0,12,6
"Switzerland",0,0,0,0,0,0,0,0,2,0,0,8,0,4,0,0,1,7,0,12,6,3,0,10,5
"Ukraine",0,0,0,0,0,5,4,0,0,0,8,0,10,6,3,2,12,0,0,0,1,0,0,0,7
"United.Kingdom",0,0,0,0,0,2,0,0,0,0,0,0,7,8,0,6,10,0,3,1,5,4,0,12,0
