"","Albania","Armenia","Australia","Austria","Belgium","Croatia","Cyprus","Czechia","Estonia","Finland","France","Germany","Israel","Italy","Lithuania","Moldova","Norway","Poland","Portugal","Serbia","Slovenia","Spain","Sweden","Switzerland","Ukraine","United.Kingdom"
"Albania",0,10,3,0,5,0,4,0,8,0,0,0,6,2,0,0,0,0,0,0,0,1,12,7,0,0
"Armenia",0,0,0,2,0,0,5,0,0,8,7,0,12,0,0,0,4,1,0,0,0,6,10,0,3,0
"Australia",0,0,0,6,12,0,3,0,8,5,0,0,0,1,10,0,0,0,2,0,0,4,7,0,0,0
"Austria",0,1,0,0,3,0,2,5,0,8,0,0,0,12,7,0,0,0,0,0,6,0,10,4,0,0
"Azerbaijan",8,0,5,0,0,0,0,0,1,3,0,0,12,6,0,0,0,0,0,0,0,7,10,4,2,0
"Belgium",0,0,4,12,0,0,0,3,0,5,1,0,10,7,0,0,0,2,0,0,0,6,8,0,0,0
"Croatia",0,0,0,0,0,0,0,0,3,7,0,0,8,12,0,2,0,0,1,4,5,6,10,0,0,0
"Cyprus",0,4,8,10,0,0,0,1,0,3,0,0,7,5,0,0,0,0,0,0,0,6,12,2,0,0
"Czechia",0,8,7,0,0,0,0,0,2,5,0,1,0,4,0,0,0,0,0,0,6,3,10,0,12,0
"Denmark",0,0,2,7,3,0,5,0,0,8,6,0,0,0,4,0,10,0,0,0,0,0,12,0,0,1
"Estonia",0,3,8,0,6,0,0,0,0,10,0,0,4,5,1,0,0,0,0,0,0,2,12,0,7,0
"Finland",0,0,0,2,5,0,1,8,0,0,7,0,0,6,0,0,0,0,3,0,0,0,12,10,0,4
"France",0,7,0,10,0,0,0,4,0,8,0,0,12,2,0,0,0,0,5,0,0,0,6,3,1,0
"Georgia",0,10,2,0,12,0,3,0,5,1,0,0,7,8,6,0,0,0,0,0,0,0,4,0,0,0
"Germany",0,0,8,2,0,0,0,5,10,0,0,0,0,4,1,0,6,0,0,3,0,7,12,0,0,0
"Greece",3,0,5,7,12,0,4,0,0,0,0,0,8,0,0,0,0,0,10,1,0,0,6,2,0,0
"Iceland",0,0,12,8,5,0,0,6,0,10,0,2,0,0,0,0,4,0,0,1,0,3,7,0,0,0
"Ireland",0,6,4,0,10,0,0,3,0,8,5,0,7,0,1,0,0,0,0,0,0,0,12,0,0,2
"Israel",0,0,0,6,3,0,1,4,5,8,0,0,0,0,0,0,10,2,0,0,0,0,12,0,7,0
"Italy",0,5,0,0,2,0,0,7,6,0,0,0,12,0,3,0,0,0,0,1,0,0,8,4,10,0
"Latvia",0,1,0,0,2,0,6,0,12,0,0,0,5,3,7,0,0,0,0,0,0,8,10,0,4,0
"Lithuania",0,0,4,8,7,0,1,0,5,3,6,0,10,0,0,0,0,0,0,0,0,0,12,0,2,0
"Malta",0,0,0,1,0,0,5,0,0,8,0,0,7,10,4,0,2,0,3,0,0,0,12,6,0,0
"Moldova",1,2,5,0,0,0,4,0,7,0,0,0,0,10,0,0,0,0,8,0,0,3,12,0,6,0
"Netherlands",0,0,0,1,4,0,0,8,0,10,3,0,2,0,0,0,0,0,5,0,0,7,12,6,0,0
"Norway",0,0,5,0,0,0,7,4,0,12,0,0,3,6,0,8,0,0,0,0,0,1,10,2,0,0
"Poland",0,1,4,0,5,0,10,0,8,0,0,0,12,6,3,0,0,0,0,0,0,0,7,2,0,0
"Portugal",0,0,12,0,6,3,0,7,8,0,0,0,0,0,0,0,1,0,0,4,0,10,5,2,0,0
"Romania",5,0,3,0,2,0,6,0,8,0,0,0,4,12,0,7,0,1,0,0,0,0,10,0,0,0
"San.Marino",0,0,5,6,7,0,0,0,10,0,0,0,0,12,8,3,1,0,0,0,0,2,4,0,0,0
"Serbia",0,0,0,6,0,8,0,1,0,7,4,0,10,2,0,0,0,0,0,0,12,3,5,0,0,0
"Slovenia",0,0,4,3,5,0,0,6,10,0,0,0,0,12,8,0,0,0,0,0,0,2,7,1,0,0
"Spain",0,3,0,0,4,0,0,0,7,1,5,0,8,10,0,0,2,0,6,0,0,0,12,0,0,0
"Sweden",0,0,0,0,0,0,1,3,2,12,10,0,5,7,0,0,8,0,0,0,0,0,0,6,0,4
"Switzerland",0,5,2,7,0,0,0,12,10,0,0,0,1,8,0,0,4,0,0,0,0,3,6,0,0,0
"Ukraine",0,0,8,0,0,0,0,7,5,0,0,0,1,2,10,0,0,6,0,0,3,0,12,0,0,4
"United.Kingdom",0,3,10,0,7,0,0,0,6,0,0,0,4,2,8,0,0,0,0,0,1,5,12,0,0,0
